all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,125764,215951,1069,1298,853,97641


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
original sentence,"Do you always seem to cross paths with people who are stuck on themselves , intolerant of people different from them , rude or downright arrogant ?"
wrong word,stuck 12
mutation sentence,"Do you always seem to cross paths with people who are so stuck on themselves , intolerant of people different from them , rude or downright arrogant ?"
mutation sentence,"Do you always seem to cross paths with people who are too stuck on themselves , intolerant of people different from them , rude or downright arrogant ?"

original sentence,It is recommend that you use short words since they are commonly used .
wrong word,recommend 3
mutation sentence,It is highly recommend that you use short words since they are commonly used .
mutation sentence,It is very recommend that you use short words since they are commonly used .
mutation sentence,It is more recommend that you use short words since they are commonly used .



"pos from 动词 to 介词
"


"pos from 动词 to 副词
"


"pos from 动词 to 助词
"
original sentence,"The central idea is to first apply rules to the smallest applicable unit , then to the smallest unit containing that one , and so on . [ 5 ]"
wrong word,is 4
mutation sentence,"The central idea is then to first apply rules to the smallest applicable unit , then to the smallest unit containing that one , and so on . [ 5 ]"
mutation sentence,"The central idea is simply to first apply rules to the smallest applicable unit , then to the smallest unit containing that one , and so on . [ 5 ]"
mutation sentence,"The central idea is therefore to first apply rules to the smallest applicable unit , then to the smallest unit containing that one , and so on . [ 5 ]"
mutation sentence,"The central idea is always to first apply rules to the smallest applicable unit , then to the smallest unit containing that one , and so on . [ 5 ]"
mutation sentence,"The central idea is not to first apply rules to the smallest applicable unit , then to the smallest unit containing that one , and so on . [ 5 ]"
mutation sentence,"The central idea is merely to first apply rules to the smallest applicable unit , then to the smallest unit containing that one , and so on . [ 5 ]"

original sentence,"I waited for her to say more , but she did n't ."
wrong word,did 11
mutation sentence,"I waited for her to say more , but she did not n't ."

original sentence,"I sure do , I sure do ."
wrong word,do 3
mutation sentence,"I sure do not , I sure do ."
wrong word,do 7
mutation sentence,"I sure do , I sure do not ."

original sentence,And then when you do it in an asymptotic way is like you do n't look at the small details .
wrong word,is 11
mutation sentence,And then when you do it in an asymptotic way is just like you do n't look at the small details .
mutation sentence,And then when you do it in an asymptotic way is almost like you do n't look at the small details .
mutation sentence,And then when you do it in an asymptotic way is not like you do n't look at the small details .

original sentence,The cool breezes from the Gulf of Mexico drift into Mérida in the evenings and this is when many of the residents spend their time outdoors .
wrong word,is 17
mutation sentence,The cool breezes from the Gulf of Mexico drift into Mérida in the evenings and this is also when many of the residents spend their time outdoors .
mutation sentence,The cool breezes from the Gulf of Mexico drift into Mérida in the evenings and this is usually when many of the residents spend their time outdoors .
mutation sentence,The cool breezes from the Gulf of Mexico drift into Mérida in the evenings and this is generally when many of the residents spend their time outdoors .
mutation sentence,The cool breezes from the Gulf of Mexico drift into Mérida in the evenings and this is typically when many of the residents spend their time outdoors .
